"ParID_Ryan","Wrap_Ryan","Clipped_Ryan","Ringing_Ryan","Ghosting_Ryan","Blurriness_Ryan","ParID_Jane","Wrap_Jane","Clipped_Jane","Ringing_Jane","Ghosting_Jane","Blurriness_Jane"
"brand_2",0,0,2,0,1,"brand_2",0,0,2,0,1
"brand_3",0,0,1,1,3,"brand_3",0,0,1,1,2
"brand_4",0,0,2,1,2,"brand_4",0,0,1,1,1
"brand_5",0,0,1,1,2,"brand_5",0,0,1,1,2
"brand_6",0,0,4,1,4,"brand_6",0,0,4,2,4
"brand_7",0,0,2,1,2,"brand_7",0,0,2,0,2
"brand_8",NA,NA,NA,NA,NA,"brand_8",NA,NA,NA,NA,NA
"brand_9",NA,NA,NA,NA,NA,"brand_9",NA,NA,NA,NA,NA
"brand_10",0,0,4,2,1,"brand_10",0,0,4,1,1
"brand_11",0,0,3,2,4,"brand_11",0,0,3,2,3
"brand_12",0,0,1,0,1,"brand_12",0,0,1,0,1
"brand_13",0,0,4,3,4,"brand_13",0,0,5,2,3
"brand_14",0,0,2,1,2,"brand_14",0,0,1,1,2
"brand_15",0,0,5,2,2,"brand_15",0,0,4,1,2
"brand_16",NA,NA,NA,NA,NA,"brand_16",NA,NA,NA,NA,NA
"brand_17",0,0,2,1,2,"brand_17",0,0,2,1,2
"brand_18",0,0,2,0,1,"brand_18",0,0,2,1,1
"brand_19",0,0,3,1,2,"brand_19",0,0,3,1,1
"brand_20",0,0,2,1,2,"brand_20",0,0,2,1,2
"brand_21",0,1,2,0,3,"brand_21",0,1,2,1,2
"brand_22",0,0,1,1,3,"brand_22",0,0,0,1,3
"brand_23",0,0,4,1,3,"brand_23",0,0,4,1,2
"brand_24",0,0,2,1,3,"brand_24",0,0,2,1,3
"brand_25",0,0,2,1,3,"brand_25",0,0,1,1,3
"brand_26",0,0,2,2,3,"brand_26",0,0,1,2,2
"brand_27",0,0,5,3,5,"brand_27",0,0,4,3,4
"brand_28",0,0,3,1,2,"brand_28",0,0,3,1,3
"cceb_AGB13_food",0,0,4,1,2,"cceb_AGB13_food ",0,0,3,1,2
"cceb_AGB13_toy",0,0,3,1,2,"cceb_AGB13_toy",0,0,3,1,2
"cceb_AGC24_food",NA,NA,NA,NA,NA,"cceb_AGC24_food ",NA,NA,NA,NA,NA
"cceb_AGC24_toy",0,0,4,2,3,"cceb_AGC24_toy",0,0,4,3,2
"cceb_AJC28_food",0,0,3,1,3,"cceb_AJC28_food",0,0,3,2,2
"cceb_AJC28_toy",0,0,3,1,2,"cceb_AJC28_toy",0,0,2,2,2
"cceb_ARB11_food",0,0,5,3,5,"cceb_ARB11_food",0,0,4,3,4
